osm_id,name,surface,tracktype,smoothness,width,length_km,premium_score,premium_tier,access,bicycle,highway,start_lat,start_lon,end_lat,end_lon,score_surface,score_tracktype,score_smoothness,score_traffic,score_width,score_access
1308339003,,compacted,grade2,bad,,0.2,78,Good,yes,yes,track,51.179921,16.873554,51.179144,16.876149,20,23,13,10,7,5
1314033121,,compacted,grade2,bad,,0.13,78,Good,yes,yes,track,51.12579,17.120815,51.125307,17.122453,20,23,13,10,7,5
1360571264,,compacted,grade2,bad,,0.61,78,Good,yes,yes,track,51.183871,16.935349,51.187938,16.92965,20,23,13,10,7,5
1360571267,,compacted,grade2,bad,,1.17,78,Good,yes,yes,track,51.173807,16.935187,51.183871,16.935349,20,23,13,10,7,5
1360571274,,compacted,grade2,bad,,1.01,78,Good,yes,yes,track,51.170025,16.95821,51.166459,16.947893,20,23,13,10,7,5
1391224191,,compacted,grade2,bad,,0.1,78,Good,yes,yes,track,51.166849,16.893877,51.166613,16.892533,20,23,13,10,7,5
1393106013,Ostrężynowa,compacted,grade2,bad,,0.15,78,Good,yes,yes,track,51.181158,16.841404,51.182399,16.842142,20,23,13,10,7,5
1393106019,,compacted,grade2,bad,,0.38,78,Good,yes,yes,track,51.174737,16.852331,51.175236,16.857763,20,23,13,10,7,5
1412487446,,compacted,grade2,bad,,0.6,78,Good,yes,yes,track,51.209353,16.887625,51.214603,16.889664,20,23,13,10,7,5
1414218767,,compacted,grade2,bad,,0.2,78,Good,yes,yes,track,51.20207,16.875393,51.200857,16.877492,20,23,13,10,7,5
30082249,Strażnicza,compacted,,intermediate,,0.12,77,Good,yes,yes,path,51.11598,17.031344,51.115924,17.033044,20,15,15,15,7,5
32703138,,compacted,,intermediate,,0.16,77,Good,yes,yes,path,51.087878,17.03076,51.086952,17.032169,20,15,15,15,7,5
34669137,Grobla Szczytnicko-Bartoszowicka,gravel,,bad,,0.5,77,Good,yes,designated,path,51.119975,17.072668,51.11549,17.072418,22,15,13,15,7,5
